classNumber,subjectCode,catalogNumber,course_level,final_fill_rate,fill_velocity_score,early_rush_score,waitlist_demand_score,time_to_fill_days,time_to_fill_score,popularity_score
0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.010000000000000002
0,0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.005000000000000001
0,0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.004
0,0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.02857142857142857
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1002,CTI,602.0,6.0,0.35,0.0032056993301679748,0.0,1.0,0.0,0.0,0.255801424832542
1004,CTI,805.0,8.0,0.3,0.002957478691365538,0.0,1.0,0.0,0.0,0.24073936967284137
1006,CTI,615.0,6.0,0.24,0.0025050938769414,0.0,1.0,0.0,0.0,0.22262627346923536
1008,GNM,631.0,6.0,0.8571428571428571,0.003536113670229802,0.0,1.0,32.90181712962963,0.6492526227238326,0.5378774101051811
1009,GNM,602.0,6.0,0.3,0.0016454822068424101,0.0,1.0,0.0,0.0,0.24041137055171058
1011,GNM,630.0,6.0,0.13333333333333333,0.0007666288316608782,0.0,1.0,0.0,0.0,0.1901916572079152
1012,GNM,690.0,6.0,0.45,0.0026791918439189807,0.0,1.0,0.0,0.0,0.28566979796097974
1014,SAP,703.0,7.0,0.1,0.0009908946044333107,0.0,1.0,0.0,0.0,0.18024772365110833
1016,SAP,0.0,0.0,0.02857142857142857,0.00017855399165818064,0.0,1.0,0.0,0.0,0.15861606706934311
1018,SAP,0.0,0.0,0.2,0.0023233394778133173,0.0,1.0,0.0,0.0,0.21058083486945334
1025,SAP,0.0,0.0,0.1,0.0006249389708036324,0.0,1.0,0.0,0.0,0.1801562347427009
1029,SAP,0.0,0.0,0.05714285714285714,0.0006638112793752334,0.0,1.0,0.0,0.0,0.16730880996270095
1031,SAP,0.0,0.0,0.02857142857142857,0.0003319056396876167,0.0,1.0,0.0,0.0,0.15865440498135047
1034,SAP,0.0,0.0,0.05714285714285714,0.0003571079833163613,0.0,1.0,0.0,0.0,0.16723213413868623
1035,SAP,0.0,0.0,0.03333333333333333,0.00020831299026787743,0.0,1.0,0.0,0.0,0.16005207824756695
1036,SAP,0.0,0.0,0.06666666666666667,0.000774446492604439,0.0,1.0,0.0,0.0,0.1701936116231511
1037,SAP,0.0,0.0,0.08571428571428572,0.0007121397574273939,0.0,1.0,0.0,0.0,0.17589232065364255
1040,SAP,0.0,0.0,0.02857142857142857,0.000417558932282551,0.0,1.0,0.0,0.0,0.1586758183044992
1046,SAP,0.0,0.0,0.05714285714285714,0.0006638112793752334,0.0,1.0,0.0,0.0,0.16730880996270095
1049,SAP,0.0,0.0,0.8975609756097561,0.011868583629547775,0.0,1.0,21.448483796296298,0.771350031870231,0.57650544496436
1051,SAP,0.0,0.0,0.13333333333333333,0.0008332519610715097,0.0,1.0,0.0,0.0,0.19020831299026786
1052,SAP,0.0,0.0,0.05714285714285714,0.0003571079833163613,0.0,1.0,0.0,0.0,0.16723213413868623
1053,SAP,0.0,0.0,0.02,0.00012498779416072645,0.0,1.0,0.0,0.0,0.15603124694854018
1054,SAP,0.0,0.0,0.08571428571428572,0.000535661974974542,0.0,1.0,0.0,0.0,0.17584820120802935
1055,SAP,0.0,0.0,0.06666666666666667,0.00041662598053575486,0.0,1.0,0.0,0.0,0.17010415649513394
1056,SAP,0.0,0.0,0.06666666666666667,0.00041662598053575486,0.0,1.0,0.0,0.0,0.17010415649513394
1057,SAP,0.0,0.0,0.32,0.0019998047065716233,0.0,1.0,0.0,0.0,0.24649995117664292
1058,SAP,0.0,0.0,0.87,0.008478945449616995,0.0,1.0,0.0,0.0,0.4131197363624043
1059,SAP,0.0,0.0,0.36666666666666664,0.0027457051834910693,0.0,1.0,0.0,0.0,0.26068642629587274
1060,SAP,0.0,0.0,0.95,0.008991679367662637,0.0,1.0,63.92060185185185,0.31857917253874335,0.5009637543496643
1061,SAP,0.0,0.0,0.2571428571428571,0.001753637046380416,0.0,1.0,0.0,0.0,0.22758126640445225
1063,SAP,0.0,0.0,0.5666666666666667,0.005354451941704973,0.0,1.0,0.0,0.0,0.3213386129854262
1064,SAP,0.0,0.0,0.22,0.0013748657357679909,0.0,1.0,0.0,0.0,0.216343716433942
1065,SAP,0.0,0.0,0.06666666666666667,0.00041662598053575486,0.0,1.0,0.0,0.0,0.17010415649513394
1066,SAP,0.0,0.0,0.03333333333333333,0.00020831299026787743,0.0,1.0,0.0,0.0,0.16005207824756695
1067,SAP,0.0,0.0,0.3333333333333333,0.0020976739159824123,0.0,1.0,0.0,0.0,0.2505244184789956
1070,SAP,0.0,0.0,0.1,0.0006249389708036324,0.0,1.0,0.0,0.0,0.1801562347427009
1072,SAP,2.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.21
1083,SAP,0.0,0.0,0.05,0.0003129424522735594,0.0,1.0,0.0,0.0,0.1650782356130684
